Ticket_ID,Date_Ouverture,Date_Fermeture,Département,Catégorie,Sous_Catégorie,Priorité,Technicien,Canal,Temps_Resolution_h,SLA,Satisfaction,Jour_Semaine,Heure_Ouverture,Mois,SLA_Binaire
HD000001,2025-12-26 22:41:53.522872,2025-12-27 00:35:10.754447,Direction,Active Directory,Compte verrouillé,Faible,TECH_01,Téléphone,1.89,Respecté,5,Friday,22,12,1
HD000002,2026-02-10 10:38:33.074503,2026-02-11 06:32:18.905182,Finance,Sécurité,Phishing,Faible,TECH_01,Portail,19.9,Dépassé,1,Tuesday,10,2,0
HD000003,2026-03-08 13:06:09.577145,2026-03-08 16:56:27.254580,Production,Messagerie,Outlook,Faible,TECH_09,Email,3.84,Respecté,4,Sunday,13,3,1
HD000004,2026-02-08 18:35:42.139865,2026-02-09 00:04:44.268220,IT,Messagerie,Exchange,Faible,TECH_01,Portail,5.48,Respecté,3,Sunday,18,2,1
HD000005,2025-01-16 05:43:56.864971,2025-01-16 21:48:52.876428,Juridique,Sécurité,Phishing,Faible,TECH_10,Téléphone,16.08,Dépassé,1,Thursday,5,1,0
HD000006,2026-03-03 09:09:23.246880,2026-03-03 12:20:25.473536,Direction,Matériel,Imprimante,Faible,TECH_06,Email,3.18,Respecté,4,Tuesday,9,3,1
HD000007,2025-04-27 12:12:01.403560,2025-04-27 21:03:10.854263,Achats,Sécurité,Antivirus,Moyenne,TECH_09,Téléphone,8.85,Dépassé,4,Sunday,12,4,0
HD000008,2025-02-13 18:29:50.490589,2025-02-14 03:46:31.601547,IT,Sécurité,Antivirus,Moyenne,TECH_02,Téléphone,9.28,Dépassé,3,Thursday,18,2,0
HD000009,2025-05-17 19:57:12.949794,2025-05-17 22:21:12.035933,Juridique,Active Directory,Compte verrouillé,Moyenne,TECH_09,Email,2.4,Respecté,5,Saturday,19,5,1
HD000010,2025-10-07 21:24:00.818770,2025-10-08 01:11:48.531161,RH,Messagerie,Outlook,Faible,TECH_08,Email,3.8,Respecté,5,Tuesday,21,10,1
HD000011,2025-03-29 13:26:23.701411,2025-03-29 17:22:21.430023,Finance,Matériel,PC,Faible,TECH_05,Email,3.93,Respecté,4,Saturday,13,3,1
HD000012,2026-02-17 01:15:26.715230,2026-02-17 13:32:51.361964,Finance,Réseau,VPN,Haute,TECH_09,Téléphone,12.29,Dépassé,2,Tuesday,1,2,0
HD000013,2025-11-17 04:57:10.012786,2025-11-17 15:30:33.866685,Juridique,Messagerie,Exchange,Faible,TECH_04,Email,10.56,Dépassé,3,Monday,4,11,0
HD000014,2025-01-13 08:03:20.199067,2025-01-13 20:00:34.117818,IT,Réseau,VPN,Faible,TECH_01,Email,11.95,Dépassé,3,Monday,8,1,0
HD000015,2025-05-25 04:55:41.083093,2025-05-25 06:55:08.375858,Direction,Active Directory,Compte verrouillé,Faible,TECH_04,Email,1.99,Respecté,4,Sunday,4,5,1
HD000016,2025-06-20 09:26:42.150831,2025-06-20 13:31:25.551680,Finance,Logiciel,SAP,Faible,TECH_09,Portail,4.08,Respecté,5,Friday,9,6,1
HD000017,2025-01-11 14:13:01.102952,2025-01-11 16:05:11.114655,Juridique,Active Directory,Mot de passe,Faible,TECH_10,Téléphone,1.87,Respecté,5,Saturday,14,1,1
HD000018,2025-01-17 03:55:03.413985,2025-01-17 07:33:49.575582,Production,Messagerie,Outlook,Haute,TECH_09,Email,3.65,Respecté,5,Friday,3,1,1
HD000019,2026-03-20 11:52:57.442914,2026-03-20 18:02:48.727035,Direction,Matériel,PC,Faible,TECH_03,Portail,6.16,Respecté,4,Friday,11,3,1
HD000020,2025-08-04 08:01:25.239101,2025-08-04 11:20:42.872933,Juridique,Matériel,Imprimante,Moyenne,TECH_06,Portail,3.32,Respecté,4,Monday,8,8,1
HD000021,2025-12-09 11:12:57.084781,2025-12-09 13:11:58.381096,Achats,Matériel,Imprimante,Haute,TECH_08,Email,1.98,Respecté,5,Tuesday,11,12,1
HD000022,2025-07-09 21:27:55.305168,2025-07-10 00:15:09.693355,IT,Logiciel,Office,Faible,TECH_07,Téléphone,2.79,Respecté,4,Wednesday,21,7,1
HD000023,2026-02-03 00:40:56.764161,2026-02-03 04:31:02.027670,Direction,Active Directory,Mot de passe,Moyenne,TECH_01,Portail,3.83,Respecté,4,Tuesday,0,2,1
HD000024,2025-02-15 16:16:12.072493,2025-02-15 21:59:35.851873,Finance,Messagerie,Exchange,Moyenne,TECH_05,Email,5.72,Respecté,4,Saturday,16,2,1
HD000025,2026-01-05 09:59:51.069161,2026-01-05 17:59:18.195781,RH,Logiciel,Office,Moyenne,TECH_04,Téléphone,7.99,Respecté,4,Monday,9,1,1
HD000026,2025-12-13 11:49:26.658226,2025-12-13 12:19:26.658226,Direction,Logiciel,ERP,Moyenne,TECH_10,Email,0.5,Respecté,5,Saturday,11,12,1
HD000027,2025-11-04 21:40:10.406645,2025-11-05 00:59:40.400041,Juridique,Réseau,WiFi,Faible,TECH_10,Portail,3.32,Respecté,5,Tuesday,21,11,1
HD000028,2025-03-27 19:53:29.688387,2025-03-28 00:27:08.050794,RH,Logiciel,ERP,Moyenne,TECH_07,Portail,4.56,Respecté,4,Thursday,19,3,1
HD000029,2025-10-27 16:51:49.232192,2025-10-27 20:17:06.572225,Achats,Logiciel,SAP,Faible,TECH_01,Téléphone,3.42,Respecté,5,Monday,16,10,1
HD000030,2025-06-10 19:39:17.204488,2025-06-10 23:02:16.050547,IT,Logiciel,ERP,Faible,TECH_07,Téléphone,3.38,Respecté,4,Tuesday,19,6,1
HD000031,2025-05-03 06:06:39.544278,2025-05-03 09:36:44.758271,Juridique,Active Directory,Compte verrouillé,Haute,TECH_10,Portail,3.5,Respecté,5,Saturday,6,5,1
HD000032,2025-06-21 07:40:17.462962,2025-06-21 11:36:43.189494,IT,Logiciel,Office,Haute,TECH_03,Portail,3.94,Respecté,4,Saturday,7,6,1
HD000033,2025-10-23 13:18:02.413492,2025-10-23 21:02:39.820853,Direction,Logiciel,Office,Haute,TECH_06,Email,7.74,Respecté,4,Thursday,13,10,1
HD000034,2025-04-20 07:21:36.548974,2025-04-20 10:57:21.766698,Achats,Logiciel,Office,Haute,TECH_03,Téléphone,3.6,Respecté,4,Sunday,7,4,1
HD000035,2025-05-25 11:04:51.745102,2025-05-25 18:37:42.627167,RH,Logiciel,Office,Faible,TECH_10,Portail,7.55,Respecté,3,Sunday,11,5,1
HD000036,2025-12-07 02:05:16.341293,2025-12-07 07:05:53.158180,Production,Logiciel,Office,Haute,TECH_09,Téléphone,5.01,Respecté,4,Sunday,2,12,1
HD000037,2025-11-02 16:22:03.900353,2025-11-03 02:23:24.604224,Finance,Sécurité,Phishing,Faible,TECH_06,Portail,10.02,Dépassé,3,Sunday,16,11,0
HD000038,2025-12-20 04:11:45.673351,2025-12-20 08:52:24.416227,IT,Matériel,Imprimante,Faible,TECH_02,Portail,4.68,Respecté,4,Saturday,4,12,1
